,timestamp,x_vel,y_vel,yaw_rate,x_acc,y_acc,yaw
0,1606943397.3193836,0.0,0.0,0.0,-0.17,0.1,-4.5625
1,1606943397.4786742,0.24,-0.0,1.0,0.85,-2.07,-3.5625
2,1606943397.681456,0.24,-0.0,1.0,-0.65,-0.24,-6.0625
3,1606943397.8540797,0.24,-0.0,1.0,-0.71,3.33,-8.875
4,1606943397.9987595,0.24,-0.0,1.0,0.91,-1.37,-3.75
5,1606943398.1420472,0.24,-0.0,1.0,-3.02,-1.12,-3.4375
6,1606943398.28294,0.24,-0.0,1.0,0.15,0.52,-3.625
7,1606943398.4253862,0.24,-0.0,1.0,-1.6500000000000001,2.61,-4.3125
8,1606943398.5592642,0.24,-0.0,1.0,-0.89,-1.1400000000000001,-3.6875
9,1606943398.6949337,0.24,-0.0,1.0,-0.45,-4.37,-2.8125
10,1606943398.8306892,0.24,-0.0,1.0,0.16,-0.2,-4.5
11,1606943398.9695177,0.24,-0.0,1.0,0.33,-2.19,-3.75
12,1606943399.1049104,0.24,-0.0,1.0,-1.22,3.88,-3.5
13,1606943399.2402697,0.24,-0.0,1.0,2.15,-0.55,-3.4375
14,1606943399.3765502,0.24,-0.0,1.0,0.33,5.66,-4.3125
15,1606943399.5116415,0.24,-0.0,1.0,0.0,0.8300000000000001,-3.3125
16,1606943399.646456,0.24,-0.0,1.0,0.05,3.19,-3.5
17,1606943399.7809105,0.24,-0.0,1.0,0.29,1.42,-4.25
18,1606943399.9171758,0.24,-0.0,1.0,-3.0,1.27,-5.0625
19,1606943400.0559185,0.24,-0.0,1.0,-0.21,-1.6,-4.375
20,1606943400.1900914,0.24,-0.0,1.0,1.26,-2.61,-3.125
21,1606943400.3251503,0.24,-0.0,1.0,0.31,0.12,-4.625
22,1606943400.4592793,0.24,-0.0,1.0,3.11,-1.71,-3.875
23,1606943400.5965743,0.24,-0.0,1.0,0.19,-0.07,-3.9375
24,1606943400.7315538,0.24,-0.0,1.0,1.05,-0.28,-4.1875
25,1606943400.8677568,0.24,-0.0,1.0,0.65,3.0500000000000003,-5.0
26,1606943401.0072927,0.24,-0.0,1.0,0.8200000000000001,-1.6500000000000001,-3.6875
27,1606943401.17262,0.24,-0.0,1.0,-2.52,2.46,-3.0
28,1606943401.320383,0.24,-0.0,1.0,0.76,-0.32,-4.8125
29,1606943401.4737382,0.24,-0.0,1.0,1.96,-1.93,-4.375
30,1606943401.6237342,0.24,-0.0,1.0,-2.0100000000000002,-2.69,-4.75
31,1606943401.7739015,0.24,-0.0,1.0,0.96,-0.12,-5.0
32,1606943401.921141,0.24,-0.0,1.0,-3.38,-0.23,-5.5
33,1606943402.0678523,0.24,-0.0,1.0,-0.46,-0.04,-4.9375
34,1606943402.2173796,0.24,-0.0,1.0,1.85,-2.5100000000000002,-4.0625
35,1606943402.3662572,0.24,-0.0,1.0,-0.6900000000000001,-0.33,-5.5625
36,1606943402.5082002,0.24,-0.0,1.0,0.61,-0.98,-4.3125
37,1606943402.655572,0.24,-0.0,1.0,0.66,0.5700000000000001,-3.6875
38,1606943402.7969027,0.24,-0.0,1.0,0.4,0.9400000000000001,-5.125
39,1606943402.936806,0.24,-0.0,1.0,1.05,3.52,-5.1875
40,1606943403.081759,0.24,-0.0,1.0,-0.3,0.14,-5.5
41,1606943403.228207,0.24,-0.0,1.0,3.0100000000000002,0.33,-4.5
42,1606943403.3703988,0.24,-0.0,1.0,0.63,2.59,-5.4375
43,1606943403.5098376,0.24,-0.0,1.0,0.48,-2.37,-4.5625
44,1606943403.6503541,0.24,-0.0,1.0,1.8,-1.71,-4.5625
45,1606943403.787308,0.24,-0.0,1.0,0.21,0.65,-4.9375
46,1606943403.9263613,0.24,-0.0,1.0,-0.96,4.68,-5.5625
47,1606943404.0688107,0.24,-0.0,1.0,-1.21,0.08,-5.5625
48,1606943404.2073178,0.24,-0.0,1.0,0.05,-1.82,-4.25
49,1606943404.3533628,0.24,-0.0,1.0,-0.91,-1.2,-5.4375
50,1606943404.4956148,0.24,-0.0,1.0,2.66,-2.54,-4.8125
51,1606943404.6316276,0.24,-0.0,1.0,-0.78,-4.98,-5.25
52,1606943404.7754402,0.24,-0.0,1.0,0.19,0.21,-4.8125
53,1606943404.9116833,0.24,-0.0,1.0,-1.69,0.23,-4.8125
54,1606943405.0500696,0.24,-0.0,1.0,-1.2,-2.5100000000000002,-5.3125
55,1606943405.187172,0.24,-0.0,1.0,1.18,-0.45,-4.125
56,1606943405.3263419,0.24,-0.0,1.0,-0.44,-1.6600000000000001,-5.625
57,1606943405.4622629,0.24,-0.0,1.0,0.7000000000000001,-0.92,-4.4375
58,1606943405.6010933,0.24,-0.0,1.0,-1.49,2.15,-4.625
59,1606943405.7389793,0.24,-0.0,1.0,1.96,0.08,-4.375
60,1606943405.8773243,0.24,-0.0,1.0,1.68,6.3100000000000005,-4.9375
61,1606943406.0145397,0.24,-0.0,1.0,1.42,-0.78,-4.0625
62,1606943406.1510897,0.24,-0.0,1.0,1.44,-0.12,-4.3125
63,1606943406.2896516,0.24,-0.0,1.0,0.03,0.6900000000000001,-4.375
64,1606943406.4316988,0.24,-0.0,1.0,-1.84,2.81,-3.75
65,1606943406.5678062,0.24,-0.0,1.0,-1.61,0.67,-4.5
66,1606943406.7042258,0.24,-0.0,1.0,1.17,-1.55,-4.75
67,1606943406.8439043,0.24,-0.0,1.0,-0.42,0.85,-6.75
68,1606943406.9836514,0.24,-0.0,1.0,1.1400000000000001,-1.1,-4.5
69,1606943407.121415,0.24,-0.0,1.0,-2.83,-3.89,-4.6875
70,1606943407.2619278,0.24,-0.0,1.0,0.8,-0.46,-5.0625
71,1606943407.401068,0.24,-0.0,1.0,-3.85,-1.56,-5.625
72,1606943407.5399208,0.24,-0.0,1.0,-0.39,-0.3,-4.75
73,1606943407.6762037,0.24,-0.0,1.0,-1.67,0.9400000000000001,-3.9375
74,1606943407.8133655,0.24,-0.0,1.0,-0.39,-0.15,-5.5625
75,1606943407.9499176,0.24,-0.0,1.0,2.15,0.34,-4.875
76,1606943408.0896406,0.24,-0.0,1.0,0.11,0.2,-5.0625
77,1606943408.234336,0.24,-0.0,1.0,0.7000000000000001,0.66,-4.5
78,1606943408.3793764,0.24,-0.0,1.0,0.54,4.5600000000000005,-5.8125
79,1606943408.5257306,0.24,-0.0,1.0,-0.56,-1.1400000000000001,-4.625
80,1606943408.6722293,0.24,-0.0,1.0,-2.94,3.0100000000000002,-3.5
81,1606943408.816676,0.24,-0.0,1.0,-0.25,-0.71,-5.375
82,1606943408.968384,0.24,-0.0,1.0,1.51,-0.02,-4.5625
83,1606943409.1156955,0.24,-0.0,1.0,-1.52,0.9400000000000001,-4.125
84,1606943409.2594717,0.24,-0.0,1.0,0.81,-2.24,-4.4375
85,1606943409.4127033,0.24,-0.0,1.0,-2.32,0.99,-4.875
86,1606943409.5626473,0.24,-0.0,1.0,-0.7000000000000001,-1.41,-5.125
87,1606943409.7090497,0.24,-0.0,1.0,0.54,-2.5,-4.1875
88,1606943409.8552835,0.24,-0.0,1.0,-1.03,-0.59,-4.9375
89,1606943410.0075085,0.24,-0.0,1.0,2.47,-0.3,-3.8125
90,1606943410.1559546,0.24,-0.0,1.0,0.34,3.47,-3.3125
91,1606943410.306767,0.24,-0.0,1.0,-0.8300000000000001,0.9500000000000001,-4.375
92,1606943410.4506173,0.24,-0.0,1.0,0.42,0.74,-3.75
93,1606943410.5961342,0.24,-0.0,1.0,-1.46,2.75,-3.875
94,1606943410.742067,0.24,-0.0,1.0,1.12,1.33,-4.0625
95,1606943410.8870635,0.24,-0.0,1.0,-0.89,-2.42,-4.75
96,1606943411.033191,0.24,-0.0,1.0,-0.39,-0.5,-3.9375
97,1606943411.1771808,0.24,-0.0,1.0,-3.22,1.21,-2.5
98,1606943411.3278856,0.24,-0.0,1.0,-0.16,-0.43,-3.9375
99,1606943411.4737318,0.24,-0.0,1.0,0.15,-0.63,-3.0
100,1606943411.6259727,0.24,-0.0,1.0,-2.0,-2.25,-4.25
101,1606943411.7696166,0.24,-0.0,1.0,1.21,-0.3,-4.5
102,1606943411.9164922,0.24,-0.0,1.0,-2.73,-0.81,-5.0
103,1606943412.0662746,0.24,-0.0,1.0,-1.04,-1.26,-3.9375
104,1606943412.2091277,0.24,-0.0,1.0,0.19,-2.3000000000000003,-3.0
105,1606943412.3539522,0.24,-0.0,-1.0,-0.84,0.73,-4.4375
106,1606943412.5014637,0.24,-0.0,-1.0,0.01,0.31,-3.6875
107,1606943412.6468608,0.24,-0.0,-1.0,-1.1300000000000001,-0.65,-6.125
108,1606943412.7945065,0.24,-0.0,-1.0,-0.6,0.97,-4.8125
109,1606943412.9404137,0.24,-0.0,-1.0,0.05,-0.24,-6.375
110,1606943413.0868921,0.24,-0.0,-1.0,-0.35000000000000003,-0.14,-5.875
111,1606943413.2316833,0.24,-0.0,1.0,0.8200000000000001,-0.7000000000000001,-4.6875
112,1606943413.3679245,0.24,-0.0,1.0,0.17,4.39,-4.375
113,1606943413.5057533,0.24,-0.0,1.0,0.77,-1.6,-3.0625
114,1606943413.6430979,0.24,-0.0,1.0,-1.55,-1.54,-3.25
115,1606943413.781939,0.24,-0.0,1.0,-0.23,0.64,-3.75
116,1606943413.9179897,0.24,-0.0,1.0,-2.58,1.46,-4.75
117,1606943414.0605905,0.24,-0.0,1.0,-0.66,-1.32,-3.8125
118,1606943414.1954079,0.24,-0.0,1.0,-0.96,-2.72,-2.5625
119,1606943414.3347526,0.24,-0.0,1.0,-0.72,0.47000000000000003,-3.9375
120,1606943414.469207,0.24,-0.0,1.0,1.1500000000000001,-1.26,-3.125
121,1606943414.606065,0.24,-0.0,1.0,-1.29,1.62,-2.9375
122,1606943414.7408829,0.24,-0.0,1.0,0.71,0.98,-3.0
123,1606943414.8795376,0.24,-0.0,1.0,0.4,3.84,-3.75
124,1606943415.0178201,0.24,-0.0,1.0,-0.11,-0.7000000000000001,-2.8125
125,1606943415.1558268,0.24,-0.0,1.0,0.89,-0.18,-2.6875
126,1606943415.2943342,0.24,-0.0,1.0,-0.65,1.75,-3.4375
127,1606943415.4324925,0.24,-0.0,1.0,-1.6500000000000001,6.01,-3.375
128,1606943415.5677397,0.24,-0.0,1.0,-0.45,0.47000000000000003,-3.125
129,1606943415.70876,0.24,-0.0,1.0,0.04,-3.23,-2.0625
130,1606943415.8432322,0.24,-0.0,1.0,-0.99,1.05,-3.3125
131,1606943415.965679,0.24,-0.0,1.0,-0.99,1.05,-3.3125
132,1606943416.1085145,0.24,-0.0,1.0,-0.85,4.82,-2.1875
133,1606943416.2443228,0.24,-0.0,1.0,2.2,-0.47000000000000003,-2.25
134,1606943416.380407,0.24,-0.0,1.0,0.9400000000000001,6.36,-3.4375
135,1606943416.5165365,0.24,-0.0,1.0,0.72,-1.41,-2.75
136,1606943416.6554875,0.24,-0.0,1.0,2.8000000000000003,1.97,-1.6875
137,1606943416.7954934,0.24,-0.0,1.0,-0.5700000000000001,1.31,-2.3125
138,1606943416.9329975,0.24,-0.0,-1.0,-1.26,1.93,-2.375
139,1606943417.068506,0.24,-0.0,-1.0,-1.36,1.3900000000000001,-4.8125
140,1606943417.202425,0.24,-0.0,-1.0,-0.38,2.45,-5.5
141,1606943417.3463879,0.24,-0.0,1.0,-0.14,-1.9000000000000001,-7.1875
142,1606943417.4807303,0.24,-0.0,1.0,-0.8200000000000001,1.99,-3.9375
143,1606943417.616211,0.24,-0.0,1.0,-1.9000000000000001,-0.31,-3.6875
144,1606943417.7510765,0.24,-0.0,1.0,1.61,0.17,-4.1875
145,1606943417.8906908,0.24,-0.0,1.0,1.71,4.46,-3.8125
146,1606943418.024672,0.24,-0.0,1.0,-0.68,-0.23,-2.8125
147,1606943418.161819,0.24,-0.0,1.0,-3.29,3.5,-3.0
148,1606943418.2968097,0.24,-0.0,1.0,0.01,2.47,-3.5
149,1606943418.4312124,0.24,-0.0,1.0,0.88,4.03,-3.1875
150,1606943418.565314,0.24,-0.0,1.0,-0.38,-1.29,-2.8125
151,1606943418.6998937,0.24,-0.0,1.0,-0.31,-2.2800000000000002,-1.5
152,1606943418.8365018,0.24,-0.0,1.0,-0.21,0.7000000000000001,-3.375
153,1606943418.9723241,0.24,-0.0,1.0,0.74,1.2,-1.875
154,1606943419.1221437,0.24,-0.0,1.0,-1.79,0.09,-1.5
155,1606943419.2568145,0.24,-0.0,1.0,1.1,-1.54,-2.1875
156,1606943419.3935502,0.24,-0.0,1.0,-1.7,-2.72,-2.75
157,1606943419.5312905,0.24,-0.0,1.0,0.01,-1.03,-1.75
158,1606943419.6657398,0.24,-0.0,1.0,-0.9400000000000001,3.7600000000000002,-1.0625
159,1606943419.8029516,0.24,-0.0,-1.0,-0.59,1.47,-2.375
160,1606943419.9377892,0.24,-0.0,-1.0,-0.47000000000000003,3.08,-4.6875
161,1606943420.0723927,0.24,-0.0,-1.0,0.29,-1.06,-4.375
162,1606943420.206899,0.24,-0.0,-1.0,-0.38,0.74,-3.875
163,1606943420.343558,0.24,-0.0,1.0,0.74,-0.02,-2.875
164,1606943420.4784153,0.24,-0.0,1.0,-0.31,2.9,-2.5625
165,1606943420.615529,0.24,-0.0,1.0,-0.77,1.1300000000000001,-2.0625
166,1606943420.7583568,0.24,-0.0,1.0,2.24,-0.12,-1.9375
167,1606943420.8951037,0.24,-0.0,1.0,-5.13,-2.0,-2.4375
168,1606943421.0318644,0.24,-0.0,1.0,0.0,0.65,-1.875
169,1606943421.168186,0.24,-0.0,1.0,-2.88,2.89,-0.6875
170,1606943421.304556,0.24,-0.0,1.0,-0.79,1.02,-2.125
171,1606943421.4426193,0.24,-0.0,1.0,-1.72,-0.02,-2.3125
172,1606943421.5805295,0.24,-0.0,1.0,0.17,1.9000000000000001,-3.5625
173,1606943421.714776,0.24,-0.0,-1.0,0.8,-1.6,-2.8125
174,1606943421.853334,0.24,-0.0,-1.0,-0.41000000000000003,0.35000000000000003,-4.75
175,1606943421.9957302,0.24,-0.0,-1.0,1.4000000000000001,0.67,-5.125
176,1606943422.1324012,0.24,-0.0,-1.0,-2.72,-2.39,-7.0
177,1606943422.2724047,0.24,-0.0,-1.0,1.18,0.08,-4.8125
178,1606943422.407551,0.24,-0.0,-1.0,-0.58,-1.35,-5.0
179,1606943422.5429428,0.24,-0.0,-1.0,-0.13,1.3800000000000001,-3.8125
180,1606943422.6876826,0.24,-0.0,1.0,-0.05,0.8300000000000001,-2.8125
181,1606943422.8297966,0.24,-0.0,1.0,-0.63,2.34,-1.75
182,1606943422.976492,0.24,-0.0,1.0,0.46,-2.6,-0.375
183,1606943423.1224124,0.24,-0.0,-1.0,-1.6500000000000001,-3.84,-1.3125
184,1606943423.2638605,0.24,-0.0,-1.0,0.48,1.17,-2.5625
185,1606943423.401563,0.24,-0.0,-1.0,-6.2,2.41,-4.875
186,1606943423.5373669,0.24,-0.0,1.0,1.05,-0.28,-5.3125
187,1606943423.6735458,0.24,-0.0,1.0,0.26,-0.7000000000000001,-7.6875
188,1606943423.8114655,0.24,-0.0,1.0,-0.28,0.38,-6.8125
